degree	specialization	programming_skill_level	internship_experience	certifications	project_count	job_role
B.Tech	Business Analytics	Intermediate	Yes	Yes	6	Business Analyst
MBA	Business Analytics	Beginner	No	Yes	4	Business Analyst
MCA	Artificial Intelligence	Intermediate	No	Yes	5	ML Engineer
MBA	Business Analytics	Beginner	Yes	Yes	3	Business Analyst
B.Tech	Data Science	Advanced	No	No	5	ML Engineer
MBA	Artificial Intelligence	Advanced	Yes	No	5	ML Engineer
MCA	Information Technology	Advanced	Yes	No	4	Software Developer
M.Sc	Data Science	Intermediate	No	Yes	3	Data Scientist
MCA	Information Technology	Beginner	Yes	Yes	5	Software Developer
B.Tech	Data Science	Advanced	No	Yes	2	Data Scientist
B.Tech	Data Science	Advanced	No	Yes	3	Data Scientist
M.Sc	Artificial Intelligence	Advanced	Yes	Yes	5	ML Engineer
MBA	Artificial Intelligence	Advanced	Yes	Yes	5	ML Engineer
B.Tech	Artificial Intelligence	Advanced	No	No	6	ML Engineer
M.Sc	Information Technology	Intermediate	No	Yes	2	Software Developer
M.Sc	Computer Science	Advanced	Yes	Yes	6	Software Developer
MCA	Data Science	Advanced	Yes	Yes	4	Data Scientist
B.Tech	Business Analytics	Beginner	No	No	5	Business Analyst
MBA	Business Analytics	Beginner	Yes	No	2	Business Analyst
MBA	Information Technology	Intermediate	Yes	No	2	Software Developer
M.Sc	Computer Science	Intermediate	Yes	Yes	5	Software Developer
MCA	Business Analytics	Beginner	No	No	3	Business Analyst
MBA	Data Science	Advanced	No	Yes	6	Data Scientist
M.Sc	Information Technology	Advanced	No	No	6	Software Developer
MCA	Information Technology	Intermediate	Yes	Yes	3	Software Developer
MBA	Business Analytics	Beginner	No	No	2	Business Analyst
B.Tech	Data Science	Intermediate	Yes	Yes	3	Data Scientist
MCA	Business Analytics	Advanced	No	Yes	4	Business Analyst
M.Sc	Artificial Intelligence	Advanced	No	No	5	ML Engineer
MCA	Data Science	Advanced	No	No	1	Data Scientist
MBA	Information Technology	Beginner	Yes	Yes	5	Software Developer
M.Sc	Information Technology	Beginner	Yes	Yes	5	Software Developer
MCA	Business Analytics	Beginner	Yes	Yes	1	Business Analyst
B.Tech	Data Science	Advanced	Yes	Yes	4	Data Scientist
MCA	Data Science	Intermediate	No	Yes	5	Data Scientist
MBA	Computer Science	Intermediate	No	Yes	4	Software Developer
MBA	Data Science	Intermediate	No	No	0	Data Scientist
MBA	Data Science	Advanced	No	No	6	ML Engineer
B.Tech	Business Analytics	Intermediate	Yes	Yes	3	Business Analyst
B.Tech	Data Science	Advanced	No	Yes	2	Data Scientist
B.Tech	Data Science	Advanced	Yes	Yes	1	Data Scientist
MCA	Data Science	Advanced	Yes	Yes	2	Data Scientist
MCA	Business Analytics	Beginner	No	No	1	Business Analyst
M.Sc	Business Analytics	Advanced	Yes	Yes	2	Business Analyst
B.Tech	Business Analytics	Beginner	Yes	No	5	Business Analyst
M.Sc	Business Analytics	Beginner	No	No	6	Business Analyst
MCA	Artificial Intelligence	Advanced	No	No	6	ML Engineer
M.Sc	Data Science	Advanced	No	Yes	5	ML Engineer
MCA	Data Science	Advanced	Yes	No	5	ML Engineer
B.Tech	Artificial Intelligence	Advanced	No	Yes	6	ML Engineer
B.Tech	Business Analytics	Intermediate	Yes	No	6	Business Analyst
MBA	Business Analytics	Beginner	No	Yes	3	Business Analyst
M.Sc	Information Technology	Intermediate	Yes	Yes	3	Software Developer
M.Sc	Business Analytics	Beginner	No	Yes	3	Business Analyst
MCA	Business Analytics	Beginner	Yes	Yes	1	Business Analyst
B.Tech	Data Science	Advanced	No	Yes	3	Data Scientist
M.Sc	Computer Science	Intermediate	No	Yes	3	Software Developer
MBA	Business Analytics	Beginner	Yes	No	4	Business Analyst
M.Sc	Artificial Intelligence	Advanced	No	Yes	3	ML Engineer
M.Sc	Information Technology	Advanced	Yes	No	5	Software Developer
